"name_pufa","runinfo","runname","dry_pufa","dry_weight_mg"
"18:0","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.00775846556471425,8.6592
"18:1n-9t","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000955730901423665,8.6592
"18:1n-9c","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.00079596519760443,8.6592
"18:1n-7","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.00104148968393874,8.6592
"18:2n-6t","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000508908132031807,8.6592
"18:2n-6c","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000237107383673754,8.6592
"18:3n-3","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.0165745925699303,8.6592
"20:0","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.00502273534401444,8.6592
"20:1n-9","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",9.45946945840603e-05,8.6592
"20:2n-6","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000113917553882721,8.6592
"20:3n-6","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",3.07979267327149e-05,8.6592
"20:4n-6","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000787348297277225,8.6592
"20:5n-3","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.00377587588532818,8.6592
"22:0","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000103347154044713,8.6592
"22:1n-9","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0.000227965002105134,8.6592
"22:6n-3","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0,8.6592
"24:0","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0,8.6592
"24:1n-9","Hainbach forest Diptera A-B","PUFA-KF_07.02.2020 21_22_2940",0,8.6592
"18:0","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.0126625349094192,3.1994
"18:1n-9t","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.00254779795932441,3.1994
"18:1n-9c","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0,3.1994
"18:1n-7","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.00104369744505568,3.1994
"18:2n-6t","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0,3.1994
"18:2n-6c","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.000792545052161744,3.1994
"18:3n-6","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.00844233393562386,3.1994
"20:0","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.00712309946422021,3.1994
"20:1n-9","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.000102463471325847,3.1994
"20:4n-6","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.000681659782417439,3.1994
"20:5n-3","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.00554578224218144,3.1994
"22:0","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0.000857079753909,3.1994
"22:1n-9","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",8.20585547431092e-05,3.1994
"24:0","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0,3.1994
"24:1n-9","Hainbach forest Diptera C","PUFA-KF_07.02.2020 23_13_4942",0,3.1994
"18:0","Hainbach forest Diptera D","PUFA-KF_18.02.2020 07_05_1762",0.00278390738757777,6.3711
"18:1n-9t","Hainbach forest Diptera D","PUFA-KF_18.02.2020 07_05_1762",0,6.3711
"18:1n-9c","Hainbach forest Diptera D","PUFA-KF_18.02.2020 07_05_1762",0,6.3711
"18:1n-7","Hainbach forest Diptera D","PUFA-KF_18.02.2020 07_05_1762",0.00046930940708627,6.3711
"18:2n-6t","Hainbach forest Diptera D","PUFA-KF_18.02.2020 07_05_1762",0.000845156365721809,6.3711
